Depth,S1,S2,S1 + S2,S3,S2/S3,TOC,HI,OI,PP,PI,Tmax,S1/TOC,Ro,classes
1673,0.2,13.06,13.26,0.67,19.49850746,3.46,377.79,19.38,0.02,13.26,422,0.058,0.44,Excellent/Very Good
1680,0.21,14.99,15.2,0.63,23.79365079,3.38,443.75,18.65,0.01,15.2,419,0.062,0.38,Excellent/Very Good
1690,0.2,13.39,13.59,0.7,19.12285714,3.16,423.88,22.17,0.01,13.59,420,0.063,0.4,Excellent/Very Good
1700,0.19,14.36,14.55,0.65,22.09415385,3.91,367.58,16.64,0.01,14.55,422,0.049,0.44,Excellent/Very Good
1710,0.14,15.73,15.87,0.85,18.50588235,4.07,386.96,20.91,0.01,15.87,421,0.034,0.42,Excellent
1720,0.21,13.21,13.42,0.69,19.14666667,3.83,345.03,18.02,0.02,13.42,422,0.055,0.44,Excellent/Very Good
1730,0.22,15.25,15.47,0.73,20.89534247,3.87,394.66,18.89,0.01,15.47,421,0.057,0.42,Excellent/Very Good
1740,0.24,17.88,18.12,0.7,25.54285714,4.08,438.67,17.17,0.01,18.12,421,0.059,0.42,Excellent
1750,0.22,13.97,14.19,0.57,24.50105263,3.76,371.23,15.15,0.02,14.19,422,0.059,0.44,Excellent/Very Good
1760,0.16,9.95,10.11,0.57,17.4477193,2.6,382.65,21.93,0.02,10.11,423,0.062,0.45,Excellent/Very Good
1770,0.18,16.45,16.63,0.71,23.16901408,3.8,432.44,18.66,0.01,16.63,420,0.047,0.4,Excellent/Very Good
1780,0.17,8.04,8.21,0.54,14.89037037,2.63,306.2,20.56,0.02,8.21,425,0.065,0.49,Very Good/Poor
1790,0.23,16.64,16.87,0.64,26.004375,3.94,422.73,16.26,0.01,16.87,417,0.058,0.35,Excellent/Very Good
1800,0.31,21.73,22.04,0.7,31.04342857,4.11,528.85,17.04,0.01,22.04,417,0.075,0.35,Excellent
1804,0.64,5.24,5.88,3.35,1.564179104,1.03,506.77,323.98,0.11,5.88,437,0.621,0.71,Good/Good
1806,0.4,33.64,34.04,0.71,47.38647887,6.27,536.34,11.32,0.01,34.04,418,0.064,0.36,Excellent
1809,0.32,26.62,26.94,0.71,37.49971831,4.94,539.18,14.38,0.01,26.94,420,0.065,0.4,Excellent
1812,0.25,17.74,17.99,0.58,30.58206897,3.67,483.05,15.8,0.01,17.99,421,0.068,0.42,Excellent/Very Good
1815,0.28,17.85,18.13,0.53,33.6754717,3.88,459.76,13.65,0.02,18.13,421,0.072,0.42,Excellent/Very Good
1818,0.3,21.33,21.63,0.58,36.76827586,4.3,495.48,13.48,0.01,21.63,421,0.07,0.42,Excellent
1821,0.26,15.69,15.95,0.51,30.75686275,3.48,451.27,14.67,0.02,15.95,422,0.075,0.44,Excellent/Very Good
1824,0.19,15.93,16.12,0.51,31.23529412,3.42,466.33,14.93,0.01,16.12,419,0.056,0.38,Excellent/Very Good
1827,0.2,10.65,10.85,0.5,21.3072,2.74,388.25,18.22,0.02,10.85,422,0.073,0.44,Excellent/Very Good
1830,0.22,10.3,10.52,0.48,21.46666667,2.67,386.06,17.98,0.02,10.52,422,0.082,0.44,Excellent/Very Good
1833,0.15,11.55,11.7,0.7,16.5,2.77,416.37,25.23,0.01,11.7,422,0.054,0.44,Excellent/Very Good
1836,0.19,10.39,10.58,0.53,19.59773585,2.49,416.81,21.27,0.02,10.58,422,0.076,0.44,Excellent/Very Good
1839,0.2,11.35,11.55,0.54,21.0237037,2.81,403.87,19.21,0.02,11.55,421,0.071,0.42,Excellent/Very Good
1842,0.22,15.66,15.88,0.54,28.99703704,3.36,465.47,16.05,0.01,15.88,420,0.065,0.4,Excellent/Very Good
1845,0.23,19.52,19.75,0.6,32.53733333,4.04,483.23,14.85,0.01,19.75,417,0.057,0.35,Excellent
1848,0.32,20.14,20.46,0.68,29.61588235,4.03,500.22,16.89,0.02,20.46,417,0.079,0.35,Excellent
1851,0.26,19.89,20.15,0.63,31.57206349,4.29,463.32,14.68,0.01,20.15,416,0.061,0.33,Excellent
1854,0.28,21.03,21.31,0.57,36.89684211,4.12,510.71,13.84,0.01,21.31,416,0.068,0.33,Excellent
1857,0.28,21.44,21.72,0.58,36.95862069,4.27,502.25,13.59,0.01,21.72,415,0.066,0.31,Excellent
1860,0.19,26.97,27.16,0.68,39.66176471,4.78,564.46,14.23,0.01,27.16,414,0.04,0.29,Excellent
1863,0.3,22.45,22.75,0.55,40.81454545,4.14,542.22,13.29,0.01,22.75,415,0.072,0.31,Excellent
1866,0.13,5.07,5.2,0.52,9.748461538,1.93,263.34,27.01,0.03,5.2,417,0.067,0.35,Good/Good
1869,0.14,5.5,5.64,0.53,10.38037736,1.94,284.32,27.39,0.02,5.64,417,0.072,0.35,Good/Good
1872,0.12,4.27,4.39,0.61,6.998032787,1.43,298.94,42.72,0.03,4.39,420,0.084,0.4,Good/Good
1875,0.12,3.93,4.05,0.54,7.274814815,1.41,279.4,38.41,0.03,4.05,419,0.085,0.38,Good/Good
1878,0.13,4.41,4.54,0.48,9.180833333,1.44,307.09,33.45,0.03,4.54,419,0.09,0.38,Good/Good
1881,0.15,12.34,12.49,0.7,17.62857143,2.32,530.98,30.12,0.01,12.49,418,0.065,0.36,Excellent/Very Good
1884,0.14,7.46,7.6,0.51,14.62980392,1.64,453.84,31.02,0.02,7.6,419,0.085,0.38,Very Good/Poor
1887,0.18,6.43,6.61,0.5,12.8616,1.63,393.56,30.6,0.03,6.61,417,0.11,0.35,Very Good/Poor
1890,0.2,6.94,7.14,0.58,11.96,1.79,388.18,32.46,0.03,7.14,418,0.112,0.36,Very Good/Poor
1893,0.15,9.14,9.29,0.45,20.31111111,1.76,518.14,25.51,0.02,9.29,417,0.085,0.35,Very Good/Poor
1896,0.17,14.11,14.28,0.61,23.13114754,2.55,553.55,23.93,0.01,14.28,416,0.067,0.33,Excellent/Very Good
1899,0.23,13.33,13.56,0.48,27.77083333,2.82,473.37,17.05,0.02,13.56,417,0.082,0.35,Excellent/Very Good
1902,0.19,10.48,10.67,0.45,23.29666667,1.9,550.6,23.63,0.02,10.67,417,0.1,0.35,Excellent/Good
1905,0.19,10.44,10.63,0.52,20.07692308,1.83,571.43,28.46,0.02,10.63,415,0.104,0.31,Excellent/Good
1908,0.18,8.87,9.05,0.45,19.72,1.87,474.04,24.04,0.02,9.05,415,0.096,0.31,Very Good/Poor
1911,0.18,8.47,8.65,0.43,19.68627674,1.8,470.81,23.92,0.02,8.65,416,0.1,0.33,Very Good/Poor
1914,0.14,6.39,6.53,0.42,15.225,1.74,367.5,24.14,0.02,6.53,420,0.08,0.4,Very Good/Poor
1917,0.19,6.64,6.83,0.46,14.43065217,1.89,351.41,24.35,0.03,6.83,417,0.101,0.35,Very Good/Poor
1920,0.16,9.45,9.61,0.44,21.47317955,1.78,530.2,24.69,0.02,9.61,416,0.09,0.33,Very Good/Poor
1923,0.12,7.47,7.59,0.42,17.78571429,1.97,379.38,21.33,0.02,7.59,420,0.061,0.4,Very Good/Poor
1926,0.19,16.3,16.49,0.54,30.17611111,2.94,554.63,18.38,0.01,16.49,416,0.065,0.33,Excellent/Very Good
1929,0.18,11.79,11.97,0.54,21.83055556,2.19,538.78,24.68,0.02,11.97,418,0.082,0.36,Excellent/Very Good
1932,0.15,7.9,8.05,0.8,9.8745,1.45,543.3,55.02,0.02,8.05,421,0.103,0.42,Very Good/Poor
1935,0.22,19.13,19.35,0.54,35.42833333,3.11,614.36,17.34,0.01,19.35,417,0.071,0.35,Excellent/Very Good
1938,0.16,11.25,11.41,0.54,20.83166667,1.87,601.56,28.88,0.01,11.41,417,0.086,0.35,Excellent/Good
1941,0.13,7.86,7.99,0.57,13.78947368,1.61,487.29,35.34,0.02,7.99,418,0.081,0.36,Very Good/Poor
1944,0.18,12.42,12.6,0.59,21.05694915,2.27,547.54,26,0.01,12.6,418,0.079,0.36,Excellent/Very Good
1947,0.14,9.84,9.98,0.55,17.89036545,1.86,528.73,29.55,0.01,9.98,418,0.075,0.36,Very Good/Poor
1950,0.15,8.53,8.68,0.65,13.11692308,1.58,539.96,41.17,0.02,8.68,421,0.095,0.42,Very Good/Poor
1953,0.15,9.73,9.88,0.42,23.15857381,1.89,513.55,22.18,0.02,9.88,418,0.079,0.36,Very Good/Poor
1956,0.18,10.1,10.28,0.5,20.2014,1.81,557.74,27.61,0.02,10.28,420,0.099,0.4,Excellent/Good
1959,0.14,7.25,7.39,0.84,8.6275,1.81,399.51,46.31,0.02,7.39,421,0.077,0.42,Very Good/Poor
1962,0.21,13.89,14.1,0.48,28.9275,2.2,632.01,21.85,0.01,14.1,413,0.095,0.27,Excellent/Very Good
1965,0.19,12.64,12.83,0.49,25.79816327,2.07,610.39,23.66,0.01,12.83,415,0.092,0.31,Excellent/Very Good
1968,0.14,6.02,6.16,0.77,7.818701299,1.45,414.34,52.99,0.02,6.16,422,0.097,0.44,Very Good/Poor
1971,0.15,6.67,6.82,0.69,9.670869565,1.77,376.79,38.96,0.02,6.82,417,0.085,0.35,Very Good/Poor
1974,0.12,5.6,5.72,0.53,10.56603774,1.65,338.98,32.08,0.02,5.72,420,0.073,0.4,Good/Good
1977,0.11,4.71,4.82,0.38,12.39473684,1.29,366.25,29.55,0.02,4.82,416,0.085,0.33,Good/Good
1980,0.15,5.94,6.09,0.44,13.50477273,1.58,376.56,27.88,0.02,6.09,417,0.095,0.35,Very Good/Poor
1983,0.17,9.22,9.39,0.62,14.87419355,2.21,418.04,28.11,0.02,9.39,417,0.077,0.35,Very Good/Poor
1986,0.16,6.79,6.95,0.75,9.053333333,1.74,389.78,43.05,0.02,6.95,423,0.092,0.45,Very Good/Poor
1989,0.12,5.66,5.78,0.37,15.28378378,1.63,346.3,22.66,0.02,5.78,416,0.074,0.33,Good/Good
1992,0.15,6.79,6.94,0.45,15.09933333,1.51,449.98,29.8,0.02,6.94,418,0.099,0.36,Very Good/Poor
1995,0.17,8.45,8.62,0.45,18.77266889,1.67,504.64,26.88,0.02,8.62,416,0.102,0.33,Very Good/Poor
1998,0.14,4.74,4.88,0.45,10.53666667,1.2,393.81,37.38,0.03,4.88,421,0.117,0.42,Good/Good
2001,0.17,7.46,7.63,0.36,20.71083333,1.56,477.94,23.08,0.02,7.63,414,0.109,0.29,Very Good/Poor
2007,0.13,5.58,5.71,0.45,12.4,1.64,340.66,27.47,0.02,5.71,421,0.079,0.42,Good/Good
2010,0.15,5.05,5.2,0.35,14.442,1.25,403.09,27.91,0.03,5.2,421,0.12,0.42,Good/Good
2013,0.14,5.17,5.31,0.42,12.30952381,1.65,312.58,25.39,0.03,5.31,421,0.085,0.42,Good/Good
2016,0.14,4.05,4.19,0.46,8.794565217,1.47,275.02,31.27,0.03,4.19,424,0.095,0.47,Good/Good
2019,0.11,3.18,3.29,0.4,7.9605,1.17,272.15,34.19,0.03,3.29,422,0.094,0.44,Fair/Good
2022,0.12,3.37,3.49,0.41,8.21195122,1.2,279.88,34.08,0.03,3.49,423,0.1,0.45,Fair/Good
2025,0.12,3.09,3.21,0.45,6.863333333,1.5,205.63,29.96,0.04,3.21,425,0.08,0.49,Fair/Good
2028,0.12,2.58,2.7,0.42,6.131428571,1.02,252.72,41.22,0.04,2.7,424,0.118,0.47,Fair/Good
2031,0.13,5.91,6.04,0.46,12.84782609,1.58,373.58,29.08,0.02,6.04,426,0.082,0.51,Very Good/Poor
2034,0.13,5.43,5.56,0.44,12.34090909,1.6,340.44,27.59,0.02,5.56,423,0.081,0.45,Good/Good
2037,0.13,5.31,5.44,0.59,9,1.84,289.37,32.15,0.02,5.44,425,0.071,0.49,Good/Good
2040,0.11,4,4.11,0.5,8,1.42,280.9,35.11,0.03,4.11,424,0.077,0.47,Good/Good
2043,0.13,3.76,3.89,0.41,9.170731707,1.38,273.06,29.77,0.03,3.89,423,0.094,0.45,Fair/Good
2046,0.1,3.1,3.2,0.46,6.739130435,1.13,274.58,40.74,0.03,3.2,423,0.088,0.45,Fair/Good
2049,0.1,2.92,3.02,0.42,6.952380952,1.11,263.54,37.91,0.03,3.02,422,0.09,0.44,Fair/Good
2052,0.11,3.27,3.38,0.41,7.975609756,1.04,315.94,39.61,0.03,3.38,424,0.106,0.47,Fair/Good
2055,0.11,3.64,3.75,0.36,10.11111111,1.19,306.4,30.3,0.03,3.75,424,0.092,0.47,Fair/Good
2061,0.11,3.44,3.55,0.38,9.052631579,1,343.31,37.92,0.03,3.55,423,0.11,0.45,Fair/Good
2064,0.12,3.3,3.42,0.53,6.226415094,1.09,303.87,48.8,0.04,3.42,423,0.11,0.45,Fair/Good
2091,0.11,5.46,5.57,0.38,14.36842105,1.23,443.9,30.89,0.02,5.57,416,0.089,0.33,Good/Good
2094,0.09,4.47,4.56,0.38,11.76315789,1.03,435.67,37.04,0.02,4.56,420,0.087,0.4,Good/Good
2097,0.15,12.31,12.46,0.35,35.17142857,1.69,729.7,20.75,0.01,12.46,420,0.089,0.4,Excellent/Good
2100,0.14,13.06,13.2,0.36,36.27777778,2.12,617.2,17.01,0.01,13.2,417,0.066,0.35,Excellent/Very Good
2103,0.12,16.58,16.7,0.37,44.81081081,2.47,672.07,15,0.01,16.7,418,0.049,0.36,Excellent/Very Good
2106,0.14,18.31,18.45,0.44,41.61363636,2.7,677.9,16.29,0.01,18.45,417,0.052,0.35,Excellent/Very Good
2109,0.12,9.65,9.77,0.39,24.74358974,1.64,589.85,23.84,0.01,9.77,418,0.073,0.36,Very Good/Poor
2112,0.2,8.3,8.5,0.44,18.86363636,2.19,379.52,20.12,0.02,8.5,421,0.091,0.42,Very Good/Poor
2115,0.11,8.9,9.01,0.39,22.82051282,1.71,521.69,22.86,0.01,9.01,418,0.064,0.36,Very Good/Poor
2118,0.13,11.48,11.61,0.39,29.43589744,1.92,598.85,20.34,0.01,11.61,417,0.068,0.35,Excellent/Good
2121,0.23,8.98,9.21,0.39,23.02564103,1.5,599.47,26.03,0.02,9.21,419,0.153,0.38,Very Good/Poor
2127,0.2,8.5,8.7,0.37,22.97297297,1.58,537.63,23.4,0.02,8.7,420,0.127,0.4,Very Good/Poor
2133,0.14,5.38,5.52,0.33,16.3030303,1.26,425.63,26.11,0.03,5.52,417,0.111,0.35,Good/Good
2148,0.18,6.43,6.61,0.32,20.09375,1.36,472.1,23.49,0.03,6.61,418,0.132,0.36,Very Good/Poor
2151,0.18,6.04,6.22,0.36,16.77777778,1.35,448.4,26.73,0.03,6.22,418,0.133,0.36,Very Good/Poor
2154,0.15,5.94,6.09,0.35,16.97142857,1.22,486.09,28.64,0.02,6.09,418,0.123,0.36,Very Good/Poor
2157,0.21,4.15,4.36,0.38,10.92105263,0.88,473.74,43.38,0.05,4.36,419,0.239,0.38,Good/Fair
2160,0.19,3.29,3.48,0.4,8.225,0.69,477.5,58.06,0.05,3.48,418,0.275,0.36,Fair
2163,0.1,1.85,1.95,1.78,1.039325843,0.72,258.02,248.26,0.05,1.95,425,0.139,0.49,Poor/Fair
2274,0.1,1.44,1.54,0.34,4.235294118,0.38,375.98,88.77,0.06,1.54,416,0.263,0.33,Poor
2454,0.11,1.29,1.4,0.38,3.394736842,0.58,222.8,65.63,0.08,1.4,423,0.19,0.45,Poor/Fair
2457,0.1,1.48,1.58,0.36,4.111111111,0.6,246.67,60,0.06,1.58,423,0.167,0.45,Poor/Fair
2463,0.1,1.53,1.63,0.37,4.135135135,0.52,292.54,70.75,0.06,1.63,424,0.192,0.47,Poor/Fair
2466,0.11,1.77,1.88,0.3,5.9,0.71,248.95,42.19,0.06,1.88,424,0.155,0.47,Poor/Fair
2469,0.12,1.82,1.94,0.37,4.918918919,0.62,293.08,59.58,0.06,1.94,426,0.194,0.51,Poor/Fair
2472,0.12,1.82,1.94,0.37,4.918918919,0.73,249.66,50.75,0.06,1.94,423,0.164,0.45,Poor/Fair
2475,0.13,1.94,2.07,0.28,6.928571429,0.68,285.71,41.24,0.06,2.07,424,0.191,0.47,Fair
2478,0.4,2.63,3.03,0.43,6.11627907,0.67,390.21,63.8,0.13,3.03,422,0.597,0.44,Fair
2544,0.23,1.77,2,0.81,2.185185185,0.66,267.37,122.36,0.12,2,424,0.348,0.47,Fair
2541,0.23,1.77,2,0.81,2.185185185,0.65,274.42,125.58,0.12,2,424,0.354,0.47,Fair
2568,0.11,0.98,1.09,0.45,2.177777778,0.52,189.92,87.21,0.1,1.09,427,0.212,0.53,Poor/Fair
2586,0.11,1.09,1.2,0.43,2.534883721,0.53,207.62,81.9,0.09,1.2,424,0.208,0.47,Poor/Fair
2679,0.12,1.27,1.39,0.34,3.735294118,0.53,238.72,63.91,0.09,1.39,429,0.226,0.56,Poor/Fair
2685,0.12,1.42,1.54,0.44,3.227272727,0.6,235.1,72.85,0.08,1.54,428,0.2,0.54,Poor/Fair
2688,0.12,1.39,1.51,0.49,2.836734694,0.58,238.42,84.05,0.08,1.51,429,0.207,0.56,Poor/Fair
2685,0.12,1.41,1.53,0.47,3.021505376,0.59,236.73,78.35,0.08,1.53,428.5,0.203,0.55,Poor/Fair
2694,0.1,1.19,1.29,0.45,2.644444444,0.5,237.52,89.82,0.08,1.29,427,0.2,0.53,Poor/Fair
2700,0.09,1.07,1.16,0.45,2.377777778,0.59,181.97,76.53,0.08,1.16,428,0.153,0.54,Poor/Fair
2706,0.09,1.34,1.43,0.4,3.35,0.58,232.64,69.44,0.06,1.43,428,0.155,0.54,Poor/Fair
2709,0.09,1.31,1.4,0.45,2.911111111,0.57,230.23,79.09,0.06,1.4,429,0.158,0.56,Poor/Fair
2712,0.1,1.62,1.72,0.44,3.681818182,0.68,238.24,64.71,0.06,1.72,429,0.147,0.56,Poor/Fair
2715,0.11,1.77,1.88,0.67,2.641791045,0.81,217.71,82.41,0.06,1.88,430,0.136,0.58,Poor/Fair
2718,0.1,2.37,2.47,0.23,10.30434783,1.1,216.04,20.97,0.04,2.47,430,0.091,0.58,Fair/Good
2721,0.11,2.38,2.49,0.59,4.033898305,0.98,242.61,60.14,0.04,2.49,428,0.112,0.54,Fair
2718,0.11,2.38,2.48,0.41,5.792682927,1.04,228.59,39.46,0.04,2.48,429,0.106,0.56,Fair/Good
2724,0.15,2.43,2.58,0.63,3.857142857,0.93,261.85,67.89,0.06,2.58,428,0.161,0.54,Fair
2730,0.12,1.59,1.71,0.62,2.564516129,0.65,245.75,95.83,0.07,1.71,428,0.185,0.54,Poor/Fair
2733,0.12,1.63,1.75,0.52,3.134615385,0.66,246.22,78.55,0.07,1.75,429,0.182,0.56,Poor/Fair
2736,0.14,2.52,2.66,0.49,5.142857143,0.92,274.21,53.32,0.05,2.66,426,0.152,0.51,Fair
2739,0.1,1.37,1.47,0.48,2.854166667,0.5,272.37,95.43,0.07,1.47,428,0.2,0.54,Poor/Fair
2742,0.1,1.27,1.37,0.56,2.267857143,0.51,248.53,109.59,0.07,1.37,428,0.196,0.54,Poor/Fair
2754,0.14,2.04,2.18,0.52,3.923076923,0.7,292.26,74.5,0.06,2.18,427,0.2,0.53,Fair
2811,0.09,1.96,2.05,0.34,5.764705882,0.71,277.62,48.16,0.04,2.05,430,0.127,0.58,Fair
2814,0.08,1.02,1.1,0.4,2.55,0.52,194.66,76.34,0.07,1.1,433,0.154,0.63,Poor/Fair
2811,0.09,1.49,1.58,0.37,4.027027027,0.62,242.28,60.16,0.06,1.58,431.5,0.145,0.61,Poor/Fair
2871,0.11,1.4,1.51,0.47,2.978723404,0.76,184.21,61.84,0.07,1.51,433,0.145,0.63,Poor/Fair
2880,0.08,1.23,1.31,0.41,3,0.61,202.64,67.55,0.06,1.31,431,0.131,0.6,Poor/Fair
2883,0.1,2.1,2.2,0.53,3.962264151,0.94,223.64,56.44,0.05,2.2,432,0.106,0.62,Fair
2886,0.07,1.11,1.18,1.18,0.940677966,0.79,139.97,148.8,0.06,1.18,434,0.089,0.65,Poor/Fair
2883,0.09,1.61,1.69,0.86,1.877192982,0.87,185.33,98.73,0.05,1.69,433,0.103,0.63,Poor/Fair
2892,0.08,1.26,1.34,0.37,3.405405405,0.65,193.55,56.84,0.06,1.34,432,0.123,0.62,Poor/Fair
2895,0.09,1.69,1.78,0.36,4.694444444,0.88,192.48,41,0.05,1.78,432,0.102,0.62,Poor/Fair
2931,0.09,1.21,1.3,0.33,3.666666667,0.54,223.66,61,0.07,1.3,429,0.167,0.56,Poor/Fair
2934,0.09,1.7,1.79,0.29,5.862068966,0.68,248.9,42.46,0.05,1.79,431,0.132,0.6,Poor/Fair
2943,0.08,1.16,1.24,0.36,3.222222222,0.51,228.8,71.01,0.06,1.24,431,0.157,0.6,Poor/Fair
2955,0.1,1.6,1.7,0.35,4.571428571,0.63,255.18,55.82,0.06,1.7,429,0.159,0.56,Poor/Fair
2958,0.1,1.83,1.93,0.4,4.575,0.68,270.71,59.17,0.05,1.93,431,0.147,0.6,Poor/Fair
2961,0.1,1.81,1.91,0.31,5.838709677,0.72,253.15,43.36,0.05,1.91,432,0.139,0.62,Poor/Fair
2964,0.09,1.68,1.77,0.33,5.090909091,0.68,248.89,48.89,0.05,1.77,431,0.132,0.6,Poor/Fair
2985,0.09,1.45,1.54,0.89,1.629213483,0.86,169.39,103.97,0.06,1.54,433,0.105,0.63,Poor/Fair
2991,0.08,1.21,1.29,0.44,2.75,0.63,192.37,69.95,0.06,1.29,433,0.127,0.63,Poor/Fair
2985,0.09,1.33,1.42,0.67,2,0.74,179.12,89.56,0.06,1.42,433,0.122,0.63,Poor/Fair
3000,0.08,1.33,1.41,0.34,3.911764706,0.56,238.35,60.93,0.06,1.41,431,0.143,0.6,Poor/Fair
3003,0.08,2.08,2.16,0.31,6.709677419,0.89,234.5,34.95,0.04,2.16,431,0.09,0.6,Fair
3006,0.08,1.49,1.57,0.36,4.138888889,0.65,230.65,55.73,0.05,1.57,431,0.123,0.6,Poor/Fair
3009,0.07,1.45,1.52,0.38,3.815789474,0.67,218.05,57.14,0.05,1.52,430,0.104,0.58,Poor/Fair
3012,0.06,1.08,1.14,0.34,3.176470588,0.52,206.9,65.13,0.05,1.14,431,0.115,0.6,Poor/Fair
3018,0.08,1.69,1.77,0.4,4.225,0.79,213.38,50.51,0.05,1.77,430,0.101,0.58,Poor/Fair
3021,0.08,1.82,1.9,0.49,3.714285714,0.88,207.76,55.94,0.04,1.9,431,0.091,0.6,Poor/Fair
