Depth,S1,S2,S1 + S2,S3,S2/S3,TOC,HI,OI,PP,PI,Tmax,S1/TOC,Ro,classes
3524,0.1,0.79,0.89,0.15,5.27,0.76,104,20,0.9,0.11,436,0.131578947,0.688,Poor/Fair
3530,0.03,0.06,0.09,0.2,0.3,0.39,15,51,0.1,0.33,430,0.076923077,0.58,Poor
3536,0.05,0.13,0.18,0.23,0.57,0.39,33,59,0.2,0.28,429,0.128205128,0.562,Poor
3334,0.02,0.04,0.06,0.44,0.09,0.06,67,733,0.1,0.33,387,0.333333333,-0.194,Poor
3358,0.03,0.05,0.08,0.41,0.12,0.01,500,4100,0.1,0.38,338,3,-1.076,Poor
3386,0.06,0.05,0.11,0.43,0.12,0.04,125,1075,0.1,0.55,335,1.5,-1.13,Poor
3480,0.04,0.04,0.08,0.45,0.09,0.04,100,1125,0.1,0.5,367,1,-0.554,Poor
3532,0.03,0.04,0.07,0.41,0.1,0.01,400,4100,0.1,0.43,321,3,-1.382,Poor
3557,0.04,0.03,0.07,0.38,0.08,0.06,50,633,0.1,0.57,323,0.666666667,-1.346,Poor
3581,0.02,0.04,0.06,0.33,0.12,0.01,400,3300,0.1,0.33,323,2,-1.346,Poor
3602,0.06,0.05,0.11,0.37,0.14,0.01,500,3700,0.1,0.55,416,6,0.328,Poor
3627,0.03,0.03,0.06,0.34,0.09,0.02,150,1700,0.1,0.5,323,1.5,-1.346,Poor
3651,0.02,0.03,0.05,0.28,0.11,0.01,300,2800,0.1,0.4,328,2,-1.256,Poor
3675,0.01,0.04,0.05,0.29,0.14,0.03,133,967,0.1,0.2,436,0.333333333,0.688,Poor
3700,0.03,0.05,0.08,0.41,0.12,0.05,100,820,0.1,0.38,433,0.6,0.634,Poor
3745,0.03,0.05,0.08,0.56,0.09,0.12,42,467,0.1,0.38,374,0.25,-0.428,Poor
3767,0.03,0.08,0.11,0.66,0.12,0.13,62,508,0.1,0.33,415,0.230769231,0.31,Poor
3773,0.03,0.05,0.08,0.53,0.09,0.14,36,379,0.1,0.5,378,0.214285714,-0.356,Poor
3779,0.03,0.11,0.14,0.51,0.22,0.14,79,364,0.3,0.59,416,0.214285714,0.328,Poor
3782,0.03,0.81,0.84,0.57,1.42,0.46,176,124,3.4,0.76,415,0.065217391,0.31,Poor
3785,0.03,0.97,1,0.56,1.73,0.53,183,106,4.6,0.79,417,0.056603774,0.346,Poor/Fair
3788,0.03,0.38,0.41,0.55,0.69,0.24,158,229,1.2,0.69,416,0.125,0.328,Poor
3791,0.03,0.5,0.53,0.59,0.85,0.31,161,190,1.7,0.7,414,0.096774194,0.292,Poor
3794,0.03,0.09,0.12,0.41,0.22,0.1,90,410,0.2,0.59,431,0.3,0.598,Poor
3800,0.03,0.06,0.09,0.42,0.14,0.08,75,525,0.1,0.4,433,0.375,0.634,Poor
3803,0.03,0.06,0.09,0.46,0.13,0.12,50,383,0.2,0.6,438,0.25,0.724,Poor
3806,0.03,0.11,0.14,0.41,0.27,0.12,92,342,0.2,0.48,414,0.25,0.292,Poor
3825,0.03,0.07,0.1,0.33,0.21,0.02,350,1650,0,0.3,429,1.5,0.562,Poor
3831,0.08,0.06,0.14,0.49,0.12,0.08,75,613,0.1,0.57,411,1,0.238,Poor
3834,0.02,0.07,0.09,0.42,0.17,0.17,41,247,0.1,0.22,434,0.117647059,0.652,Poor
3852,0.03,0.04,0.07,0.48,0.08,0.06,67,800,0.1,0.43,325,0.5,-1.31,Poor
3858,0.04,0.06,0.1,0.5,0.12,0.12,50,417,0.1,0.4,420,0.333333333,0.4,Poor
3864,4.25,1.44,5.69,0.59,2.44,0.91,158,65,5.7,0.75,416,4.67032967,0.328,Good/Fair
3877,0.04,0.05,0.09,0.68,0.07,0.12,42,567,0.1,0.44,372,0.333333333,-0.464,Poor
3889,0.09,0.16,0.25,0.51,0.31,0.08,200,638,0.3,0.36,415,1.125,0.31,Poor
3892,0.14,0.07,0.21,0.62,0.11,0.19,37,326,0.2,0.67,440,0.736842105,0.76,Poor
3895,0.04,0.07,0.11,0.61,0.11,0.17,41,359,0.1,0.36,412,0.235294118,0.256,Poor
3898,0.2,0.09,0.29,0.64,0.14,0.2,45,320,0.3,0.69,381,1,-0.302,Poor
3901,0.05,0.09,0.14,0.59,0.15,0.15,60,393,0.1,0.36,409,0.333333333,0.202,Poor
3904,0.6,0.41,1.01,0.65,0.63,0.31,132,210,1,0.59,417,1.935483871,0.346,Poor
3913,0.3,0.3,0.6,0.7,0.43,0.21,143,333,0.6,0.5,399,1.428571429,0.022,Poor
3922,0.49,0.29,0.78,0.73,0.4,0.34,85,215,0.8,0.63,418,1.441176471,0.364,Poor
3931,5.22,1.18,6.4,0.76,1.55,0.94,126,81,6.4,0.82,417,5.553191489,0.346,Very Good/Poor
3941,0.37,0.21,0.58,0.97,0.22,0.36,58,269,0.6,0.64,421,1.027777778,0.418,Poor
3950,3.61,1.2,4.81,0.8,1.5,0.81,148,99,4.8,0.75,417,4.456790123,0.346,Good/Fair
3962,3.8,1.24,5.04,0.95,1.31,0.9,138,106,5,0.75,418,4.222222222,0.364,Good/Fair
3971,0.55,7.24,7.79,0.84,8.62,3.6,201,23,7.8,0.07,433,0.152777778,0.634,Very Good/Poor
3980,1.61,0.91,2.52,1.16,0.78,0.77,118,151,2.5,0.64,418,2.090909091,0.364,Fair
3998,2.27,0.83,3.1,1,0.83,0.72,115,139,3.1,0.73,412,3.152777778,0.256,Fair
4011,0.73,0.33,1.06,0.85,0.39,0.32,103,266,1.1,0.69,409,2.28125,0.202,Poor
4020,0.36,0.14,0.5,0.72,0.19,0.29,48,248,0.5,0.72,400,1.24137931,0.04,Poor
4032,0.68,0.36,1.04,0.78,0.46,0.38,95,205,1,0.65,406,1.789473684,0.148,Poor
4053,3.54,1.78,5.32,1.07,1.66,1.12,159,96,5.3,0.67,420,3.160714286,0.4,Good/Good
4062,2.3,1.4,3.7,0.89,1.57,0.81,173,110,3.7,0.62,416,2.839506173,0.328,Fair
4072,2.81,1.54,4.35,0.94,1.64,0.84,183,112,4.3,0.65,421,3.345238095,0.418,Good/Fair
4084,2.28,1.12,3.4,0.87,1.29,0.72,156,121,3.4,0.67,412,3.166666667,0.256,Fair
4093,1.8,0.76,2.56,0.97,0.78,0.53,143,183,2.6,0.7,412,3.396226415,0.256,Fair
4102,1.2,0.58,1.78,0.77,0.75,0.46,126,167,1.8,0.67,411,2.608695652,0.238,Poor
4111,1.43,0.57,2,0.66,0.86,0.52,110,127,2,0.71,410,2.75,0.22,Fair
4120,1.45,0.64,2.09,0.85,0.75,0.52,123,163,2.1,0.69,412,2.788461538,0.256,Fair
4130,0.74,0.47,1.21,0.86,0.55,0.5,94,172,1.2,0.61,418,1.48,0.364,Poor/Fair
4139,1,0.55,1.55,0.65,0.85,0.55,100,118,1.6,0.65,429,1.818181818,0.562,Poor/Fair
4148,0.85,0.48,1.33,0.75,0.64,0.55,87,136,1.3,0.64,430,1.545454545,1.22,Poor/Fair
4157,0.58,0.45,1.03,0.72,0.62,0.6,75,120,1,0.56,420,0.966666667,0.4,Poor/Fair
4163,0.85,0.71,1.56,0.73,0.97,0.47,151,155,1.6,0.54,441,1.808510638,0.778,Poor
4169,0.94,0.6,1.54,0.76,0.79,0.46,130,165,1.5,0.61,436,2.043478261,0.688,Poor
4175,1.04,0.52,1.56,0.62,0.84,0.39,133,159,1.6,0.67,433,2.666666667,0.634,Poor
4181,1.23,0.62,1.85,0.83,0.75,0.75,83,111,1.9,0.66,433,1.64,0.634,Poor/Fair
4184,0.71,0.3,1.01,0.65,0.46,0.43,70,151,1,0.7,429,1.651162791,0.562,Poor
4191,4.12,4.47,8.59,0.68,6.57,4.26,105,16,8.6,0.48,444,0.96713615,0.832,Very Good/Poor
4192,4.44,8.54,12.98,0.92,9.28,6.58,130,14,13,0.34,446,0.674772036,0.868,Excellent
4194,4.68,13.44,18.12,0.86,15.63,7.38,182,12,18.1,0.26,449,0.634146341,0.922,Very Good/Excellent
4197,5.4,9.46,14.86,0.73,12.96,5.31,178,14,14.9,0.36,446,1.016949153,0.868,Excellent
4200,4.39,5.93,10.32,0.96,6.18,4.21,141,23,10.3,0.43,445,1.042755344,0.85,Excellent
4206,4.51,6.42,10.93,1.31,4.9,5.46,118,24,10.9,0.41,442,0.826007326,0.796,Excellent
4218,3.15,3.95,7.1,1.62,2.44,4.28,92,38,7.1,0.44,442,0.735981308,0.796,Very Good/Poor
4236,2.92,3.46,6.38,1.54,2.25,3.82,91,40,6.4,0.46,444,0.764397906,0.82,Very Good/Poor
4250,3.14,4.48,7.62,1.44,3.11,4.38,102,33,7.6,0.41,450,0.716894977,0.94,Very Good/Poor
4267,3.28,4.55,7.83,1.52,2.99,4.01,113,38,7.8,0.42,447,0.817955112,0.886,Very Good/Poor
4276,1.83,1.5,3.33,1.54,0.97,2.78,54,55,3.3,0.55,445,0.658273381,0.97,Fair/Very Good
4282,2.5,3.2,5.7,1.03,3.11,2.24,143,46,5.7,0.44,453,1.116071429,0.994,Good/Very Good
4288,2.58,3.42,6,1.15,2.97,2.96,116,39,6,0.43,454,0.871621622,1.012,Very Good/Poor
4294,2.45,3.33,5.78,1.18,2.82,3,111,39,5.8,0.42,454,0.816666667,1.012,Good/Very Good
4300,2.33,2.76,5.09,1.21,2.28,2.91,95,42,5.1,0.46,453,0.800687285,0.994,Good/Very Good
4340,1.27,2.35,3.62,0.06,39.17,2.69,87,2,3.6,0.35,469,0.472118959,0.97,Fair/Very Good
4341,1.2,0.56,1.76,0.03,18.6,0.37,151,8,1.8,0.68,450,3.243243243,0.94,Poor
4341,1.68,0.63,2.31,0.04,15.75,0.86,73,5,2.3,0.73,454,1.953488372,1.012,Fair
4355,1.57,0.98,2.55,0.06,16.33,0.98,100,6,2.6,0.62,454,1.602040816,1.012,Fair
4356,1.97,0.88,2.85,0.04,22,0.83,106,5,2.9,0.69,456,2.373493976,1.048,Fair
4358,8.28,3.17,11.45,1.36,2.33,3.3,96,41,11.4,0.72,455,2.509090909,1.03,Excellent/Very Good
4373,6.21,5.48,11.69,1.07,5.12,3.79,145,28,11.7,0.53,451,1.638522427,0.958,Excellent/Very Good
4386,4.7,9.1,13.8,1.02,8.92,8.81,103,12,13.8,0.34,465,0.533484677,1.21,Very Good/Excellent
4395,5.06,4.32,9.38,1.09,3.96,3.76,115,29,9.4,0.54,457,1.345744681,1.066,Very Good/Poor
4425,10.09,33.57,43.66,4.58,7.33,21.11,159,22,43.7,0.23,473,0.477972525,1.354,Very Good/Excellent
4462,3.5,2.21,5.71,0.9,2.46,2.55,87,35,5.7,0.61,459,1.37254902,1.102,Good/Very Good
4486,2.92,0.35,3.27,1.3,0.27,0.97,36,134,3.3,0.89,381,3.010309278,-0.302,Fair
4511,4.78,3.25,8.03,0.84,3.87,3.26,100,26,8,0.6,455,1.466257669,1.03,Very Good/Poor
4517,0.16,0.05,0.21,0.02,2.5,0.05,100,40,0.2,0.76,342,3.2,-1.004,Poor
4523,0.36,0.12,0.48,0.07,1.71,0.13,92,54,0.5,0.75,405,2.769230769,0.13,Poor
4526,0.22,0.04,0.26,0.03,1.33,0.09,44,33,0.3,0.85,356,2.444444444,-0.752,Poor
4535,0.38,0.18,0.56,0.37,0.49,0.38,47,97,0.6,0.68,438,1,0.724,Poor
4538,0.13,0.05,0.18,0.4,0.13,0.23,22,174,0.2,0.72,418,0.565217391,1.22,Poor
4544,0.32,0.2,0.52,0.72,0.28,0.36,56,200,0.5,0.62,416,0.888888889,0.328,Poor
4550,0.09,0.06,0.15,0.17,0.35,0.12,50,142,0.2,0.6,391,0.75,-0.122,Poor
4562,0.04,0.02,0.06,0.12,0.17,0.11,18,109,0.1,0.67,328,0.363636364,-1.256,Poor
4599,0.08,0.06,0.14,0.19,0.32,0.14,43,136,0.1,0.57,402,0.571428571,0.076,Poor
4611,0.06,0.01,0.07,0.07,0.14,0.13,8,54,0.1,0.86,357,0.461538462,-0.734,Poor
4623,0.19,0.08,0.27,0.13,0.62,0.2,40,65,0.3,0.7,414,0.95,0.292,Poor
4636,0.04,0.04,0.08,0.2,0.2,0.09,44,222,0.1,0.5,385,0.444444444,-0.23,Poor
4648,0.03,0.03,0.06,0.03,1,0.04,75,75,0.1,0.5,320,0.75,-1.4,Poor
4672,0.08,0.08,0.16,0.13,0.62,0.14,57,93,0.2,0.5,300,0.571428571,-1.76,Poor
4684,0.23,0.32,0.55,0.23,1.39,0.22,145,105,0.6,0.42,390,1.045454545,-0.14,Poor
4696,0.06,0.07,0.13,0.14,0.5,0.14,50,100,0.1,0.46,334,0.428571429,-1.148,Poor
4709,0.05,0.03,0.08,0.05,0.6,0.08,38,63,0.1,0.63,337,0.625,-1.094,Poor
4721,0.07,0.15,0.22,0.43,0.35,0.27,56,159,0.2,0.32,408,0.259259259,0.184,Poor
4776,0.02,0.06,0.08,0.07,0.86,0.07,86,100,0.1,0.25,385,0.285714286,-0.23,Poor
4806,0.03,0.04,0.07,0.09,0.44,0.03,133,300,0.1,0.43,359,1,-0.698,Poor
4818,0.14,0.23,0.37,0.31,0.74,0.25,92,124,0.4,0.38,367,0.56,-0.554,Poor
4837,0.12,0.29,0.41,0.25,1.16,0.17,171,147,0.4,0.29,374,0.705882353,-0.428,Poor
4870,0.06,0.1,0.16,0.13,0.77,0.08,125,163,0.2,0.38,378,0.75,-0.356,Poor
4888,0.02,0.06,0.08,0.07,0.86,0.06,100,117,0.1,0.25,379,0.333333333,-0.338,Poor
4907,0.01,0.07,0.08,0.05,1.4,0.03,233,167,0.1,0.13,391,0.333333333,-0.122,Poor
4925,0.01,0.05,0.06,0.04,1.25,0.04,125,100,0.1,0.17,376,0.25,-0.392,Poor
4943,0.02,0.12,0.14,0.16,0.75,0.1,120,160,0.1,0.14,374,0.2,-0.428,Poor
4962,0.09,0.11,0.2,0.23,0.48,0.14,79,164,0.2,0.45,376,0.642857143,1.27,Poor
4992,0.17,0.2,0.37,0.34,0.59,0.16,125,213,0.4,0.46,383,1.0625,-0.266,Poor
5006,2.97,2.45,5.42,2.59,0.95,2.04,120,127,5.4,0.55,368,1.455882353,-0.536,Good/Very Good
5029,1.38,1.48,2.86,1.31,1.13,0.76,195,172,2.9,0.48,385,1.815789474,1.12,Fair
5038,3,5.29,8.29,0.62,8.53,2.94,180,21,8.3,0.36,455,1.020408163,1.3,Very Good/Poor
5056,2.85,5,7.85,0.43,11.63,2.62,191,16,7.8,0.36,456,1.08778626,1.048,Very Good/Poor
5117,2.37,3.43,5.8,1.01,3.4,2.39,144,42,5.8,0.41,453,0.991631799,0.994,Good/Very Good
5160,2.14,1.33,3.47,0.71,1.87,0.62,215,115,3.5,0.62,440,3.451612903,0.76,Fair
5187,0.19,0.77,0.96,0.65,1.18,0.47,164,138,1,0.2,380,0.404255319,-0.32,Poor
5221,0.22,0.4,0.62,0.33,1.21,0.29,138,114,0.6,0.35,373,0.75862069,-0.446,Poor
3125,0.38,1.93,2.31,0.51,3.784313725,1.49,129.5302013,34.22818792,2.3,0.164502165,428,0.255033557,0.54,Fair/Good
3130,0.19,0.61,0.8,0.56,1.089285714,1.07,57.00934579,52.3364486,0.8,0.2375,424,0.177570093,0.47,Poor/Good
3140,0.25,1.34,1.59,0.81,1.654320988,1.37,97.81021898,59.12408759,1.6,0.157232704,426,0.182481752,0.51,Poor/Good
3158,0.05,1.4,0.05,0.26,5.384615385,0.41,341.4634146,63.41463415,0.1,0.034482759,434,0.12195122,0.65,Poor
3164,1.64,2.07,3.71,0.43,4.813953488,1.34,154.4776119,32.08955224,3.7,0.442048518,349,1.223880597,0.88,Fair/Good
3188,0.02,0.3,0.02,0.49,0.612244898,0.23,130.4347826,213.0434783,0.1,0.0625,429,0.086956522,0.56,Poor
3194,0.04,0.02,0.06,0.43,0.046511628,0.35,5.714285714,122.8571429,0.1,0.666666667,430,0.114285714,0.58,Poor
3200,0.02,0.56,0.02,0.33,1.696969697,0.36,155.5555556,91.66666667,0.1,0.034482759,434,0.055555556,0.65,Poor
3206,0.06,1.9,0.06,0.22,8.636363636,0.41,463.4146341,53.65853659,0.1,0.030612245,385,0.146341463,0.23,Poor
3212,0.04,1.5,0.04,0.22,6.818181818,0.44,340.9090909,50,0.1,0.025974026,430,0.090909091,0.58,Poor
3218,1.64,1.58,3.22,0.3,5.266666667,0.86,183.7209302,34.88372093,3.2,0.50931677,342,1.906976744,1,Fair
3218,1.78,1.35,3.13,0.45,3,0.76,177.6315789,59.21052632,3.1,0.568690096,337,2.342105263,1.09,Fair
3224,0.05,0.01,0.06,0.18,0.055555556,0.36,2.777777778,50,0.1,0.833333333,350,0.138888889,0.86,Poor
3230,0.04,0.02,0.06,0.28,0.071428571,0.36,5.555555556,77.77777778,0.1,0.666666667,254,0.111111111,2.59,Poor
3236,0.01,0.02,0.01,0.22,0.090909091,0.33,6.060606061,66.66666667,0.2,0.333333333,454,0.03030303,1.01,Poor
3242,0.04,0.02,0.06,0.26,0.076923077,0.41,4.87804878,63.41463415,0.1,0.666666667,299,0.097560976,1.78,Poor
3248,0.04,0.01,0.04,0.27,0.037037037,0.37,2.702702703,72.97297297,1.2,0.8,299,0.108108108,1.78,Poor
3254,0.02,0.06,0.02,0.23,0.260869565,0.37,16.21621622,62.16216216,1.2,0.25,299,0.054054054,1.78,Poor
3260,0.03,0.01,0.04,0.3,0.033333333,0.39,2.564102564,76.92307692,0.1,0.75,299,0.076923077,1.78,Poor
3266,0.04,0.9,0.04,0.22,4.090909091,1.42,63.38028169,15.49295775,0.1,0.042553191,432,0.028169014,0.62,Poor/Good
3272,0.31,0.9,1.21,2.22,0.405405405,0.43,209.3023256,516.2790698,1.2,0.256198347,428,0.720930233,0.54,Poor
3272,0.07,0.03,0.1,0.13,0.230769231,0.39,7.692307692,33.33333333,0.1,0.7,385,0.179487179,0.23,Poor
3278,0.02,0.04,0.06,0.18,0.222222222,0.38,10.52631579,47.36842105,0.1,0.333333333,316,0.052631579,1.47,Poor
3284,0.04,0.04,0.08,0.04,1,0.4,10,10,0.1,0.5,297,0.1,1.81,Poor
3290,0.02,0.05,0.07,0.33,0.151515152,0.51,9.803921569,64.70588235,0.1,0.285714286,377,0.039215686,0.37,Poor/Fair
3296,0.06,0.18,0.24,0.25,0.72,7.68,2.34375,3.255208333,0.2,0.25,427,0.0078125,0.53,Poor to Fair/Excellent
3302,4.37,33.59,37.96,0.61,55.06557377,7.04,477.1306818,8.664772727,38,0.11512118,429,0.620738636,0.56,Very Good/Excellent
3308,3.91,30.31,34.22,0.44,68.88636364,6.77,447.7104874,6.499261448,34.2,0.114260666,435,0.577548006,0.67,Excellent
3320,3.13,25.29,28.42,0.56,45.16071429,6.28,402.7070064,8.917197452,28.4,0.110133709,33,0.498407643,6.57,Excellent
3326,0.07,0.11,0.18,0.28,0.392857143,0.5,22,56,0.2,0.388888889,427,0.14,0.53,Poor/Fair
3326,0.66,6.14,6.8,0.4,15.35,2.38,257.9831933,16.80672269,6.8,0.097058824,432,0.277310924,0.62,Very Good/Poor
3332,0.05,0.15,0.2,0.23,0.652173913,0.57,26.31578947,40.35087719,0.2,0.25,430,0.087719298,0.58,Poor/Fair
3332,2.33,21.46,23.79,0.6,35.76666667,5.44,394.4852941,11.02941176,23.8,0.097940311,433,0.428308824,0.63,Excellent
3338,0.07,0.09,0.16,0.26,0.346153846,0.4,22.5,65,0.2,0.4375,368,0.175,0.54,Poor
3344,0.09,0.24,0.33,0.45,0.533333333,0.56,42.85714286,80.35714286,0.3,0.272727273,429,0.160714286,0.56,Poor/Fair
3344,0.07,0.25,0.32,0.31,0.806451613,0.66,37.87878788,46.96969697,0.3,0.21875,433,0.106060606,0.63,Poor/Fair
3350,0.08,0.14,0.22,0.28,0.5,0.51,27.45098039,54.90196078,0.2,0.363636364,434,0.156862745,0.65,Poor/Fair
3356,0.06,0.18,0.24,0.19,0.947368421,0.55,32.72727273,34.54545455,0.2,0.25,435,0.109090909,0.67,Poor/Fair
3368,0.03,0.08,0.25,0.12,0.666666667,6,1.333333333,2,0.63,0.272727273,430,0.005,0.57,Poor to Fair/Excellent
3374,0.41,0.51,0.26,1.58,0.32278481,55,0.927272727,2.872727273,0.2,0.445652174,431,0.007454545,0.6,Poor to Fair/Excellent
3374,0.28,0.42,0.46,0.61,0.68852459,41,1.024390244,1.487804878,0.33,0.4,390,0.006829268,0.14,Poor to Fair/Excellent
3380,0.57,0.73,0.3,1.9,0.384210526,79,0.924050633,2.405063291,0.22,0.438461538,390,0.00721519,0.13,Poor to Fair/Excellent
3386,0.44,0.56,0.25,1.76,0.318181818,58,0.965517241,3.034482759,0.21,0.44,391,0.007586207,0.13,Poor to Fair/Excellent
3386,0.17,0.28,0.46,0.43,0.651162791,33,0.848484848,1.303030303,0.35,0.377777778,391,0.005151515,0.12,Poor to Fair/Excellent
3392,0.17,0.27,0.31,0.55,0.490909091,29,0.931034483,1.896551724,0.37,0.386363636,391,0.005862069,0.12,Poor to Fair/Excellent
3398,0.01,0.05,0.17,0.06,0.833333333,8,0.625,0.75,0.8,0.166666667,392,0.00125,0.11,Poor to Fair/Excellent
3398,0.35,0.55,0.43,0.81,0.679012346,52,1.057692308,1.557692308,0.36,0.388888889,392,0.006730769,0.11,Poor to Fair/Excellent
3398,0.18,0.32,0.25,0.72,0.444444444,29,1.103448276,2.482758621,0.44,0.36,392,0.006206897,0.1,Poor to Fair/Excellent
3410,0.11,0.18,0.61,0.13,1.384615385,28,0.642857143,0.464285714,0.39,0.379310345,393,0.003928571,0.09,Poor to Fair/Excellent
3410,0.17,0.25,0.2,0.18,1.388888889,16,1.5625,1.125,0.32,0.404761905,393,0.010625,0.08,Poor to Fair/Excellent
3416,0.08,0.14,0.21,0.85,0.164705882,7,2,12.14285714,0.43,0.363636364,393,0.011428571,0.08,Poor to Fair/Excellent
3422,0.06,0.14,0.18,1.83,0.076502732,28,0.5,6.535714286,0.2,0.3,394,0.002142857,0.07,Poor to Fair/Excellent
3428,0.08,0.13,0.39,0.4,0.325,21,0.619047619,1.904761905,0.38,0.380952381,394,0.003809524,0.07,Poor to Fair/Excellent
3434,0.05,0.09,0.2,0.31,0.290322581,13,0.692307692,2.384615385,0.44,0.357142857,394,0.003846154,0.06,Poor to Fair/Excellent
3440,0.04,0.06,0.16,0.24,0.25,11,0.545454545,2.181818182,0.33,0.4,395,0.003636364,0.06,Poor to Fair/Excellent
